lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,18,0.022989,-0.054039,0,,,,1.201850425
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,20,0.021786,-0.050249,0,,,,1.081665383
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,22,0.01785,-0.039447,0,,,,0.983332166
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,24,0.015392,-0.032541,0,,,,0.9013878189
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,27,0.012041,-0.022894,0,,,,0.8012336168
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,30,0.008656,-0.01427,0,,,,0.7211102551
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,35,0.006328,-0.008464,0,,,,0.6180945044
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,17,0.020104,-0.047886,0,,,,1.272547509
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,19,0.016917,-0.039854,0,,,,1.13859514
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,20,0.015352,-0.035125,0,,,,1.081665383
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,22,0.01352,-0.027379,0,,,,0.983332166
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,24,0.012744,-0.024334,0,,,,0.9013878189
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,26,0.012023,-0.02158,0,,,,0.8320502943
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,28,0.008491,-0.013858,0,,,,0.7726181305
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,32,0.007181,-0.008983,0,,,,0.6760408641
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,35,0.006829,-0.007622,0,,,,0.6180945044
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,37,0.006676,-0.007544,0,,,,0.5846839906
Canon,Canon EF 17-40mm f/4L USM,,1,ptlens,40,0.00464,-0.003826,0,,,,0.5408326913
Canon,Canon EF 200mm f/2.8L II USM,,1.611,poly3,200,,,,0.000502,,,0.06714248185
Canon,Canon EF 200mm f/2.8L USM,,1,ptlens,200,0.00082,-0.00169,0.01111,,,,0.1081665383
Canon,Canon EF 20mm f/2.8 USM,,1,ptlens,20,0.02466,-0.05795,0.0166,,,,1.081665383
Canon,Canon EF 22-55mm f/4-5.6 USM,,1.613,ptlens,22,0.00117,-0.01071,-0.00445,,,,0.6096293652
Canon,Canon EF 22-55mm f/4-5.6 USM,,1.613,ptlens,25,0.0041,-0.01879,0.01245,,,,0.5364738414
Canon,Canon EF 22-55mm f/4-5.6 USM,,1.613,ptlens,33,0.0043,-0.01662,0.01769,,,,0.4064195768
Canon,Canon EF 22-55mm f/4-5.6 USM,,1.613,ptlens,40,0.00022,0.00019,0.00202,,,,0.3352961508
Canon,Canon EF 22-55mm f/4-5.6 USM,,1.613,ptlens,55,0.00388,-0.01017,0.01684,,,,0.2438517461
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,24,0.0257,-0.07729,0.04077,,,,0.9013878189
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,28,0.02199,-0.06803,0.05148,,,,0.7726181305
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,35,0.02313,-0.06839,0.06614,,,,0.6180945044
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,50,0.00564,-0.01278,0.02271,,,,0.4326661531
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,70,-0.00831,0.04241,-0.04789,,,,0.3090472522
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,85,-0.00507,0.02459,-0.01782,,,,0.2545095018
Canon,Canon EF 24-105mm f/3.5-5.6 IS STM,,1,ptlens,105,0.00013,0.01078,-0.0072,,,,0.2060315015
